16,16,32,32,1,16,1,1,0,0,0,0,,,,
ÉåÉCÉÑÅ[0,data\image\ST-Schl-E01.bmp,1,,,,,,,,,,,,,
1,1,444,444,444,1,1,1,1,1,1,1,1,1,1,1
398,1,452,452,452,1,1,1,1,1,1,1,1,1,1,397
406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,405
414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,413
422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,421
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,41,41,41,41,41,41,41,41,41,18,1,1,1,1,1
49,49,49,49,49,49,49,49,49,49,27,41,41,41,41,41
4,4,4,4,4,4,4,4,4,4,48,49,49,49,49,49
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
