14,14,32,32,1,16,1,1,0,0,0,0,,
レイヤー0,..\ドキュメント\GitHub\GamePrograming\program\natuseisaku\natuseisaku\data\image\ST-Schl-I02.bmp,1,,,,,,,,,,,
3,112,113,3,3,3,3,12,3,159,3,3,3,3
3,120,121,3,3,3,3,12,3,178,179,178,179,3
0,128,129,12,12,12,12,12,12,186,187,186,187,0
0,12,12,12,12,261,261,12,12,12,12,12,12,0
0,12,12,331,332,333,334,335,334,335,335,12,12,0
0,12,12,339,363,341,371,368,369,343,343,261,12,0
0,12,12,347,348,349,350,351,350,351,351,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,331,332,333,334,365,366,335,335,12,12,0
0,12,12,339,367,341,342,373,374,343,343,12,12,0
0,12,12,347,348,349,350,351,350,351,351,12,12,0
0,12,12,12,261,12,261,12,261,12,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
