20,20,32,32,1,16,1,1,0,0,0,0,,,,,,,,
ÉåÉCÉÑÅ[0,data\image\ST-Schl-Gym.jpg,1,,,,,,,,,,,,,,,,,
89,89,89,10,10,10,10,10,10,157,158,10,10,10,10,10,10,89,89,89
97,97,97,91,91,91,91,91,91,91,91,91,91,91,91,91,91,97,97,97
105,105,105,0,0,227,0,0,0,0,0,0,0,0,0,0,0,105,105,105
9,0,189,0,0,0,0,0,0,189,189,0,0,0,0,0,0,189,0,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,284,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,287,9
9,292,293,0,0,177,0,0,0,0,0,0,0,0,0,0,0,294,295,9
9,300,301,0,0,177,177,0,0,0,0,0,0,0,0,0,0,302,303,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,0,189,0,0,0,0,0,0,189,189,0,0,0,0,0,0,189,0,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,0,0,0,0,0,0,376,377,378,379,0,0,0,376,377,378,379,0,9
9,0,0,0,0,0,0,347,385,386,387,0,0,0,384,385,371,387,0,9
0,0,0,0,0,0,0,392,393,394,395,0,0,0,392,393,394,395,0,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,314,315,0,0,0,0,376,377,378,379,0,0,0,376,377,378,379,0,9
9,322,323,0,0,0,0,384,385,347,387,0,0,0,384,385,347,387,0,9
9,314,315,312,313,0,0,392,393,394,395,0,0,0,392,393,394,395,0,9
9,322,323,320,321,0,0,0,0,0,0,0,332,0,0,0,0,0,0,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
