14,14,32,32,1,16,1,1,0,0,0,0,,
レイヤー0,..\ドキュメント\GitHub\GamePrograming\program\natuseisaku\natuseisaku\data\image\ST-Schl-I02.bmp,1,,,,,,,,,,,
93,94,94,94,94,94,94,94,94,94,382,195,382,95
109,110,110,110,110,110,110,110,110,110,390,147,390,111
0,25,25,25,25,25,25,25,25,25,398,155,398,0
0,25,25,25,25,25,25,25,25,25,25,25,25,0
0,25,25,25,25,25,25,25,25,25,25,25,25,0
0,25,25,25,25,235,232,233,234,25,25,25,25,0
0,25,25,25,25,235,240,241,242,25,25,25,25,0
25,25,25,25,25,235,248,249,250,25,25,25,25,25
0,25,25,25,25,235,235,257,258,25,25,25,25,0
0,25,25,25,25,25,25,25,25,25,25,25,25,0
0,25,25,25,25,25,25,25,25,25,25,25,25,0
0,25,25,25,25,25,25,25,25,25,25,25,25,0
0,25,25,25,25,25,25,25,25,25,25,25,25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
