14,13,32,32,1,16,1,1,1,0,0,0,,
レイヤー0,..\OneDrive\ドキュメント\GitHub\GamePrograming\program\natuseisaku\natuseisaku\data\image\ST-Schl-I01.bmp,1,,,,,,,,,,,
0,10,10,10,10,10,10,10,10,143,10,166,166,0
0,162,163,164,10,10,10,10,10,10,10,174,174,0
0,170,171,172,12,12,12,12,12,12,12,182,182,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,12,364,12,289,291,12,363,12,12,12,0
0,12,12,12,372,12,297,299,12,371,12,12,12,12
0,12,12,12,380,12,305,307,12,379,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,12,12,12,12,12,12,12,12,12,12,12,12,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0
